timestamp,device_name,latency_ms,bandwidth_mbps,cpu_usage,memory_usage,packet_loss
2024-01-15 08:00,Router-01,12.5,850,45,67,0.1
2024-01-15 08:30,Router-01,15.2,820,52,71,0.2
2024-01-15 09:00,Router-01,18.1,780,58,74,0.3
2024-01-15 09:30,Router-01,14.3,890,48,69,0.1
2024-01-15 10:00,Router-01,16.7,865,55,72,0.2
2024-01-15 08:00,Switch-02,8.2,920,35,55,0.0
2024-01-15 08:30,Switch-02,9.1,910,38,58,0.1
2024-01-15 09:00,Switch-02,11.4,895,42,61,0.1
2024-01-15 09:30,Switch-02,10.8,905,40,59,0.0
2024-01-15 10:00,Switch-02,12.2,885,44,62,0.1
2024-01-15 08:00,Firewall-03,22.1,750,65,82,0.2
2024-01-15 08:30,Firewall-03,25.3,720,72,85,0.4
2024-01-15 09:00,Firewall-03,28.7,680,78,88,0.5
2024-01-15 09:30,Firewall-03,24.9,740,68,83,0.3
2024-01-15 10:00,Firewall-03,26.1,710,75,86,0.4
